epoch;binary_accuracy;loss;lr
0;0.936493992805481;0.45663613080978394;0.002
1;0.9450730681419373;0.13790550827980042;0.002
2;0.9476129412651062;0.08664444833993912;0.002
3;0.9507649540901184;0.07624839246273041;0.002
4;0.9532579183578491;0.06803178787231445;0.002
5;0.9548982977867126;0.061834562569856644;0.002
6;0.9565185904502869;0.05618562921881676;0.002
7;0.9580114483833313;0.05166935175657272;0.002
8;0.9587498903274536;0.04885692521929741;0.002
9;0.9593757390975952;0.045986298471689224;0.002
10;0.9595325589179993;0.045160893350839615;0.002
11;0.9600352048873901;0.04336041584610939;0.002
12;0.9602692723274231;0.0419292114675045;0.002
13;0.9603354930877686;0.041280556470155716;0.002
14;0.9605798125267029;0.04045073688030243;0.002
15;0.9603540897369385;0.04088667035102844;0.002
16;0.9606515169143677;0.039545703679323196;0.002
17;0.9608932733535767;0.038704272359609604;0.002
18;0.9604722857475281;0.040352217853069305;0.002
19;0.9611632823944092;0.03755767643451691;0.002
20;0.9610556960105896;0.038313914090394974;0.002
21;0.9610912799835205;0.03766685351729393;0.002
22;0.9613431692123413;0.03654145076870918;0.002
23;0.9613050818443298;0.036715805530548096;0.002
24;0.9614300727844238;0.03627680242061615;0.002
25;0.9613523483276367;0.036443907767534256;0.002
26;0.9613088369369507;0.03686622157692909;0.002
27;0.9611554145812988;0.03702068328857422;0.002
28;0.9616219401359558;0.03543071821331978;0.002
29;0.961484968662262;0.03593137860298157;0.002
30;0.9615761637687683;0.035356078296899796;0.002
31;0.961558997631073;0.03553948178887367;0.002
32;0.9616986513137817;0.034808285534381866;0.002
33;0.9615117907524109;0.03526770696043968;0.002
34;0.9615885019302368;0.035369113087654114;0.002
35;0.9617258906364441;0.0348036102950573;0.002
36;0.9616515636444092;0.03510095924139023;0.002
37;0.9618051052093506;0.03421745076775551;0.002
38;0.9616007804870605;0.03539254516363144;0.002
39;0.9618224501609802;0.03420991450548172;0.002
40;0.9615293145179749;0.03544725477695465;0.002
41;0.961803138256073;0.03432684391736984;0.002
42;0.9619176983833313;0.033883243799209595;0.002
43;0.9615395069122314;0.03561769053339958;0.002
44;0.9613029360771179;0.03763384371995926;0.002
45;0.9615592360496521;0.03707989305257797;0.002
46;0.9614879488945007;0.03631618991494179;0.002
47;0.9615092277526855;0.03603598102927208;0.002
48;0.9619895815849304;0.033880557864904404;0.00040000002
49;0.9621239900588989;0.03340943157672882;0.00040000002
50;0.9621171355247498;0.033319924026727676;0.00040000002
51;0.962142288684845;0.03314514085650444;0.00040000002
52;0.9621858596801758;0.032975539565086365;0.00040000002
53;0.9622412919998169;0.03285318985581398;0.00040000002
54;0.9622297286987305;0.032807670533657074;0.00040000002
55;0.9622653722763062;0.032604847103357315;0.00040000002
56;0.9622718095779419;0.03257537633180618;0.00040000002
57;0.9622976183891296;0.032429229468107224;0.00040000002
58;0.9623227119445801;0.03236090764403343;0.00040000002
59;0.9622986912727356;0.0323951281607151;0.00040000002
60;0.9623479843139648;0.032127752900123596;0.00040000002
61;0.9623366594314575;0.032199181616306305;0.00040000002
62;0.9623693823814392;0.03198051080107689;0.00040000002
63;0.9623956680297852;0.0318460576236248;0.00040000002
64;0.962412416934967;0.031806278973817825;0.00040000002
65;0.9624525904655457;0.03157663345336914;0.00040000002
66;0.9624280333518982;0.0317150317132473;0.00040000002
67;0.9624257683753967;0.03162489831447601;0.00040000002
68;0.9624594449996948;0.031483668833971024;0.00040000002
69;0.9624893665313721;0.031299591064453125;0.00040000002
70;0.9624900817871094;0.03131498396396637;0.00040000002
71;0.9625557065010071;0.03104359284043312;8.0000005e-05
72;0.9625911712646484;0.030915480107069016;8.0000005e-05
73;0.9625916481018066;0.030912378802895546;8.0000005e-05
74;0.9626059532165527;0.03090367279946804;8.0000005e-05
75;0.9626018404960632;0.03089745342731476;8.0000005e-05
76;0.9625982046127319;0.030831532552838326;8.0000005e-05
77;0.9625795483589172;0.030906835570931435;8.0000005e-05
78;0.9626032114028931;0.03084077499806881;8.0000005e-05
79;0.962613046169281;0.03080243058502674;8.0000005e-05
80;0.9626297950744629;0.030779488384723663;8.0000005e-05
81;0.962622344493866;0.030760042369365692;8.0000005e-05
82;0.9626116156578064;0.030732043087482452;1.6000002e-05
83;0.9626267552375793;0.03069445490837097;1.6000002e-05
84;0.9626320600509644;0.030693041160702705;1.6000002e-05
85;0.9626352190971375;0.030692609027028084;1.6000002e-05
86;0.9626355171203613;0.030686447396874428;1.6000002e-05
87;0.9626320004463196;0.030688179656863213;1.6000002e-05
88;0.9626288414001465;0.030696475878357887;1.6000002e-05
89;0.962650716304779;0.03065568394958973;1.6000002e-05
90;0.9626324772834778;0.030674459412693977;1.6000002e-05
91;0.9626492857933044;0.03063270077109337;1.6000002e-05
92;0.9626404047012329;0.030653102323412895;3.2000003e-06
93;0.9626439213752747;0.03061496838927269;3.2000003e-06
94;0.9626455307006836;0.030641542747616768;3.2000003e-06
95;0.9626315832138062;0.030693821609020233;3.2000003e-06
96;0.9626245498657227;0.030688807368278503;3.2000003e-06
97;0.9626372456550598;0.030664559453725815;3.2000003e-06
98;0.9626448750495911;0.030638113617897034;3.2000003e-06
99;0.9626352787017822;0.030664678663015366;3.2000003e-06
