epoch;binary_accuracy;loss;lr;val_binary_accuracy;val_loss
0;0.935131847858429;0.28039056062698364;0.002;0.9414581656455994;0.16627706587314606
1;0.939947783946991;0.15936590731143951;0.002;0.941471517086029;0.1262839138507843
2;0.9397328495979309;0.13476108014583588;0.002;0.9418660402297974;0.1205221563577652
3;0.9398438334465027;0.12678982317447662;0.002;0.9403062462806702;0.11624415963888168
4;0.9404652118682861;0.12116002291440964;0.002;0.94150310754776;0.11202444136142731
5;0.9405603408813477;0.11871517449617386;0.002;0.9435606002807617;0.10837730020284653
6;0.940348744392395;0.12010960280895233;0.002;0.9417195320129395;0.11379701644182205
7;0.9409042000770569;0.11565230041742325;0.002;0.9438885450363159;0.10449467599391937
8;0.9410322904586792;0.11421439051628113;0.002;0.9432076811790466;0.10853707045316696
9;0.941044807434082;0.11362361907958984;0.002;0.9426633715629578;0.10723996162414551
10;0.9411303400993347;0.11395153403282166;0.002;0.9414764642715454;0.11319875717163086
11;0.941152036190033;0.11111358553171158;0.002;0.9441115856170654;0.10551945120096207
12;0.9411236643791199;0.11059547960758209;0.002;0.9439201951026917;0.10522624850273132
13;0.9410998821258545;0.1093873679637909;0.002;0.9429579973220825;0.10563298314809799
14;0.9411032199859619;0.11019156128168106;0.002;0.9432309865951538;0.1056400015950203
15;0.9412638545036316;0.1091446653008461;0.002;0.9415746927261353;0.10677021741867065
16;0.9413811564445496;0.11003610491752625;0.002;0.9435456395149231;0.10232415050268173
17;0.9413920044898987;0.10774768143892288;0.002;0.944534420967102;0.10296434164047241
18;0.9413273334503174;0.10771571099758148;0.002;0.9414615035057068;0.11081890761852264
19;0.9411816596984863;0.10684386640787125;0.002;0.9440250396728516;0.10329531133174896
20;0.9417625665664673;0.10534196346998215;0.002;0.9424336552619934;0.10377459973096848
21;0.941772997379303;0.10555391758680344;0.002;0.9414997696876526;0.1076366975903511
22;0.9417387247085571;0.10522112250328064;0.002;0.942625105381012;0.10808213800191879
23;0.9415401220321655;0.10564760118722916;0.002;0.9435523152351379;0.100075364112854
24;0.9417659044265747;0.1041351705789566;0.002;0.9437287449836731;0.10540186613798141
25;0.9417805075645447;0.1049620732665062;0.002;0.942173957824707;0.10503104329109192
26;0.9417216181755066;0.103717140853405;0.002;0.9443130493164062;0.1076861321926117
27;0.9420225024223328;0.10338293015956879;0.002;0.9425019025802612;0.10597428679466248
28;0.941974937915802;0.10252629965543747;0.002;0.9428581595420837;0.1072823777794838
29;0.9419069290161133;0.10315869003534317;0.002;0.9443962574005127;0.10036656260490417
30;0.9418706297874451;0.10240650177001953;0.002;0.9420408010482788;0.10109472274780273
31;0.9419786930084229;0.10263120383024216;0.002;0.9444711804389954;0.10052044689655304
32;0.9422010779380798;0.10171239078044891;0.002;0.9435656070709229;0.10046885907649994
33;0.9423054456710815;0.10143495351076126;0.002;0.9445560574531555;0.10252881795167923
34;0.9420980215072632;0.10252026468515396;0.002;0.9434324502944946;0.10005435347557068
35;0.9422399401664734;0.10193337500095367;0.002;0.944547712802887;0.10444125533103943
36;0.9421706199645996;0.10035914182662964;0.002;0.9439584612846375;0.10410376638174057
37;0.9424481391906738;0.10073184221982956;0.002;0.9446043372154236;0.0998065322637558
38;0.9423183798789978;0.10026674717664719;0.002;0.9432393312454224;0.10315316170454025
39;0.9421606063842773;0.10049493610858917;0.002;0.9445593953132629;0.10085996240377426
40;0.9424477219581604;0.09957318007946014;0.002;0.9436288475990295;0.10374455899000168
41;0.9423847198486328;0.09947948157787323;0.002;0.9442930221557617;0.09949824959039688
42;0.9423338174819946;0.09949994087219238;0.002;0.9419825673103333;0.10236714780330658
43;0.9425453543663025;0.09812229871749878;0.002;0.9424203634262085;0.10169942677021027
44;0.9424164295196533;0.09907231479883194;0.002;0.9444495439529419;0.10076524317264557
45;0.9421989917755127;0.09939199686050415;0.002;0.9434773921966553;0.10285589843988419
46;0.9424076676368713;0.09878350049257278;0.002;0.9448007345199585;0.09847381711006165
