epoch;binary_accuracy;loss;lr;val_binary_accuracy;val_loss
0;0.9968428015708923;0.0344272181391716;0.0005;0.9995139241218567;0.0018849028274416924
1;0.9991905093193054;0.0017491268226876855;0.0005;0.9995139241218567;0.0018626212840899825
2;0.9992218017578125;0.0014599497662857175;0.0005;0.9995139241218567;0.0018789832247421145
3;0.9992276430130005;0.0012827756581827998;0.0005;0.9995139241218567;0.0017256998689845204
4;0.9992372393608093;0.001115997671149671;0.0005;0.9995139241218567;0.0015131173422560096
5;0.9992343187332153;0.0009960613679140806;0.0005;0.9995139241218567;0.0013244373258203268
6;0.9992284774780273;0.0009590753470547497;0.0005;0.9995139241218567;0.0012398260878399014
7;0.9992280602455139;0.000923419778700918;0.0005;0.9995139241218567;0.0012692776508629322
8;0.9992368221282959;0.0008968191687017679;0.0005;0.9995139241218567;0.0011893307091668248
9;0.9992405772209167;0.0008692643023096025;0.0005;0.9995139241218567;0.0012824521400034428
10;0.9992443323135376;0.0008719784673303366;0.0005;0.9995139241218567;0.0011780145578086376
11;0.9992380738258362;0.0008915341459214687;0.0005;0.999512255191803;0.0011796972248703241
12;0.9992518424987793;0.0008276087464764714;0.000100000005;0.9995139241218567;0.0011172775411978364
13;0.9992510080337524;0.0008145037572830915;0.000100000005;0.9995155930519104;0.0010908449767157435
14;0.9992485046386719;0.0008071258198469877;0.000100000005;0.9995189309120178;0.0011215901467949152
15;0.9992501735687256;0.0007989212172105908;0.000100000005;0.9995821714401245;0.0009890766814351082
16;0.999250590801239;0.0007674055523239076;0.000100000005;0.9997902512550354;0.0010191816836595535
17;0.9992539286613464;0.0007733784150332212;0.000100000005;0.9997619390487671;0.00101034517865628
18;0.9992530941963196;0.0007566079148091376;0.000100000005;0.9996304512023926;0.0012199279153719544
19;0.9992555975914001;0.00075580645352602;0.000100000005;0.9995838403701782;0.0010381437605246902
20;0.9992547631263733;0.0007546958513557911;0.000100000005;0.9996021389961243;0.0010709681082516909
21;0.9992547631263733;0.0007442106143571436;0.000100000005;0.9998185634613037;0.0009684133110567927
22;0.9992555975914001;0.000754553999286145;0.000100000005;0.9998301863670349;0.000916455639526248
23;0.9992539286613464;0.000749859435018152;0.000100000005;0.999725341796875;0.0010073961457237601
24;0.9992551803588867;0.0007509259157814085;0.000100000005;0.999835193157196;0.0009175709565170109
25;0.9992551803588867;0.0007510774303227663;0.000100000005;0.999755322933197;0.0009487464558333158
26;0.9992560148239136;0.0007390110404230654;0.000100000005;0.9998085498809814;0.0009999690810218453
27;0.9992551803588867;0.0007537655765190721;0.000100000005;0.9996387958526611;0.0010877731256186962
28;0.9992464184761047;0.0007835609139874578;0.000100000005;0.999756932258606;0.0009962705662474036
29;0.9992555975914001;0.0007455026498064399;0.000100000005;0.9997536540031433;0.0009786448208615184
30;0.9992572665214539;0.0007456765742972493;0.000100000005;0.9995921850204468;0.001113799400627613
31;0.9992568492889404;0.0007379438611678779;0.000100000005;0.9998335242271423;0.0009914262918755412
32;0.9992568492889404;0.0007318063289858401;2.0000001e-05;0.9997453093528748;0.000988908694125712
33;0.9992568492889404;0.0007329736836254597;2.0000001e-05;0.9998068809509277;0.000991210574284196
34;0.999256432056427;0.0007305620238184929;2.0000001e-05;0.9998219013214111;0.0009804596193134785
35;0.9992568492889404;0.0007238932303152978;2.0000001e-05;0.9998185634613037;0.0009855573298409581
36;0.9992568492889404;0.0007289394270628691;2.0000001e-05;0.9998202323913574;0.0009810742922127247
37;0.9992568492889404;0.0007267185719683766;2.0000001e-05;0.9998219013214111;0.0009727029246278107
38;0.9992551803588867;0.000728708750102669;2.0000001e-05;0.9997802376747131;0.0009625624516047537
39;0.9992568492889404;0.0007179739186540246;2.0000001e-05;0.9997786283493042;0.0009565867367200553
40;0.999256432056427;0.0007248304900713265;2.0000001e-05;0.9997952580451965;0.0009784565772861242
41;0.9992576837539673;0.0007258281693793833;2.0000001e-05;0.9997453093528748;0.0009921884629875422
42;0.999256432056427;0.0007281587459146976;4.0000004e-06;0.9997919201850891;0.0009749822202138603
43;0.9992568492889404;0.0007204576395452023;4.0000004e-06;0.9997902512550354;0.0009719748632051051
44;0.9992572665214539;0.0007201750413514674;4.0000004e-06;0.9997636079788208;0.0009734365157783031
45;0.9992572665214539;0.000725843186955899;4.0000004e-06;0.9997769594192505;0.0009752018377184868
46;0.9992576837539673;0.0007188413292169571;4.0000004e-06;0.9997902512550354;0.0009744607377797365
47;0.9992568492889404;0.0007218848913908005;4.0000004e-06;0.9997702836990356;0.0009823987493291497
48;0.9992555975914001;0.0007247268222272396;4.0000004e-06;0.9998068809509277;0.0009593807626515627
49;0.9992576837539673;0.0007139678345993161;4.0000004e-06;0.9998152256011963;0.000959930126555264
50;0.9992572665214539;0.000714621739462018;4.0000004e-06;0.999798595905304;0.0009699130314402282
51;0.9992572665214539;0.0007262932485900819;4.0000004e-06;0.9998002648353577;0.0009689943981356919
52;0.9992560148239136;0.0007209148025140166;8.0000007e-07;0.9998002648353577;0.0009695985936559737
53;0.9992576837539673;0.0007135978667065501;8.0000007e-07;0.9997902512550354;0.0009711019229143858
54;0.9992568492889404;0.0007169384625740349;8.0000007e-07;0.9997902512550354;0.0009711736347526312
55;0.9992555975914001;0.0007169416057877243;8.0000007e-07;0.9997919201850891;0.0009707791614346206
56;0.9992568492889404;0.0007155209896154702;8.0000007e-07;0.999798595905304;0.0009703845134936273
57;0.999256432056427;0.0007164546404965222;8.0000007e-07;0.9997935891151428;0.0009698810754343867
58;0.9992572665214539;0.0007225285517051816;8.0000007e-07;0.9998019337654114;0.0009681981755420566
59;0.9992555975914001;0.0007169958553276956;8.0000007e-07;0.9998002648353577;0.0009687908459454775
60;0.999256432056427;0.0007153338519856334;8.0000007e-07;0.9997935891151428;0.0009704142576083541
61;0.9992572665214539;0.0007152597536332905;8.0000007e-07;0.9998019337654114;0.0009681464289315045
62;0.9992576837539673;0.0007168708252720535;1.6000001e-07;0.9998019337654114;0.0009685343247838318
63;0.9992568492889404;0.0007221456035040319;1.6000001e-07;0.9998019337654114;0.0009684378164820373
64;0.999256432056427;0.0007230471819639206;1.6000001e-07;0.9998019337654114;0.0009687439887784421
