epoch;binary_accuracy;loss;lr;val_binary_accuracy;val_loss
0;0.8726191520690918;0.9195027351379395;0.002;0.9827423095703125;0.09169500321149826
1;0.9025962948799133;0.20981739461421967;0.002;0.9827423095703125;0.09760110825300217
2;0.9026087522506714;0.20178233087062836;0.002;0.9827423095703125;0.11234927177429199
3;0.9026170969009399;0.20077095925807953;0.002;0.9827423095703125;0.11146461218595505
4;0.9026170969009399;0.19874195754528046;0.002;0.9827423095703125;0.1005052924156189
5;0.9026170969009399;0.19855578243732452;0.002;0.9827423095703125;0.1050591841340065
6;0.9024423360824585;0.18756429851055145;0.002;0.9710150361061096;0.09725715965032578
7;0.9019763469696045;0.1704278588294983;0.002;0.9825924038887024;0.08243322372436523
8;0.9019555449485779;0.16364090144634247;0.002;0.9826423525810242;0.08595462143421173
9;0.902500569820404;0.14942483603954315;0.002;0.9827256798744202;0.08166274428367615
10;0.9028875231742859;0.14601275324821472;0.002;0.9812930822372437;0.0850236564874649
11;0.9031080603599548;0.14461874961853027;0.002;0.9825423955917358;0.0843474268913269
12;0.9040192365646362;0.1377817541360855;0.002;0.9794606566429138;0.0933513268828392
13;0.9039817452430725;0.13287077844142914;0.002;0.9816928505897522;0.08970411866903305
14;0.9042147397994995;0.13192830979824066;0.002;0.9753960967063904;0.09227772802114487
15;0.9040774703025818;0.1319599747657776;0.002;0.9721977710723877;0.09973219037055969
16;0.9042688608169556;0.12900090217590332;0.002;0.9817594885826111;0.08530088514089584
17;0.904443621635437;0.1260937601327896;0.002;0.9772285223007202;0.10010667145252228
18;0.9044103026390076;0.12676237523555756;0.002;0.9592711329460144;0.10929381847381592
19;0.9042563438415527;0.12412334978580475;0.002;0.9813597202301025;0.08703587204217911
20;0.9050718545913696;0.12287243455648422;0.002;0.970165491104126;0.09611042588949203
21;0.9052757024765015;0.12387930601835251;0.002;0.9810765385627747;0.07610299438238144
22;0.9056210517883301;0.11819805949926376;0.002;0.9697157144546509;0.09595419466495514
23;0.9058748483657837;0.1164231225848198;0.002;0.9735304117202759;0.08671259135007858
24;0.9061702489852905;0.11587812006473541;0.002;0.9787777066230774;0.08916250616312027
25;0.9068650603294373;0.11280608177185059;0.002;0.9809765815734863;0.08150491863489151
26;0.9067152738571167;0.11274945735931396;0.002;0.9774283766746521;0.08133060485124588
27;0.9059746861457825;0.11319942772388458;0.002;0.9763455986976624;0.08705905079841614
28;0.906112015247345;0.11209364235401154;0.002;0.9736303687095642;0.08913183212280273
29;0.9056626558303833;0.11200300604104996;0.002;0.97831130027771;0.0897718146443367
30;0.9062826037406921;0.11387119442224503;0.002;0.9756293296813965;0.09112048149108887
31;0.9067069888114929;0.10992845147848129;0.002;0.9750296473503113;0.08468248695135117
32;0.9080008864402771;0.10515209287405014;0.002;0.9665173888206482;0.09775052219629288
33;0.9068858623504639;0.10885113477706909;0.002;0.9732638597488403;0.09063469618558884
34;0.9075058102607727;0.10970725864171982;0.002;0.9686163067817688;0.0904935821890831
35;0.9079384803771973;0.10616444796323776;0.002;0.9749130606651306;0.08479409664869308
36;0.908362865447998;0.1047155037522316;0.002;0.9751462340354919;0.08403706550598145
37;0.9083088040351868;0.10347958654165268;0.002;0.9657177925109863;0.09847166389226913
38;0.9086291790008545;0.10213351249694824;0.002;0.9760957360267639;0.08822201937437057
39;0.9082880020141602;0.10226110368967056;0.002;0.9744299650192261;0.09288882464170456
40;0.9091492295265198;0.09870460629463196;0.002;0.9765622019767761;0.08434693515300751
41;0.908491849899292;0.10332278162240982;0.002;0.9796106219291687;0.07797884941101074
42;0.9085584282875061;0.10068201273679733;0.002;0.980143666267395;0.07824025303125381
43;0.9081756472587585;0.09973052144050598;0.002;0.96869957447052;0.09203457087278366
44;0.908957839012146;0.10148387402296066;0.002;0.9751962423324585;0.08438410609960556
45;0.9092990159988403;0.1001272201538086;0.002;0.9771952033042908;0.08813493698835373
46;0.9090743660926819;0.09599301964044571;0.002;0.9713315367698669;0.0927157774567604
47;0.9091284275054932;0.10108019411563873;0.002;0.9788609743118286;0.08224477618932724
48;0.9093198180198669;0.1009686216711998;0.002;0.9755793809890747;0.08739861100912094
49;0.9082796573638916;0.09993714094161987;0.002;0.9734970927238464;0.08712355047464371
50;0.9089661836624146;0.09829096496105194;0.002;0.9689661264419556;0.09356218576431274
51;0.9097525477409363;0.09617407619953156;0.002;0.9780281186103821;0.08831047266721725
52;0.9105347394943237;0.09517782181501389;0.002;0.9681998491287231;0.09381743520498276
53;0.9090951681137085;0.09501148015260696;0.002;0.9720644950866699;0.09136302769184113
54;0.9093281626701355;0.09947758167982101;0.002;0.9748963713645935;0.08888231217861176
55;0.9092740416526794;0.09856491535902023;0.002;0.9679499864578247;0.09415102750062943
56;0.9101602435112;0.09461330622434616;0.002;0.9741300940513611;0.0850939229130745
57;0.9110173583030701;0.09176979213953018;0.002;0.97419673204422;0.08587423712015152
58;0.9106678366661072;0.09317757934331894;0.002;0.9713648557662964;0.09770186245441437
59;0.9112420082092285;0.09012404829263687;0.002;0.9756626486778259;0.08687644451856613
60;0.9106304049491882;0.09188397228717804;0.002;0.9685163497924805;0.09545090794563293
61;0.9107968211174011;0.09290068596601486;0.002;0.9770119190216064;0.08505158871412277
62;0.9107427597045898;0.08984094113111496;0.002;0.9659010171890259;0.10045371204614639
63;0.9109757542610168;0.08950284868478775;0.002;0.9667172431945801;0.09515531361103058
64;0.9113501906394958;0.09045301377773285;0.002;0.9668172001838684;0.09518460929393768
65;0.9110256433486938;0.09253756701946259;0.002;0.9697823524475098;0.08883199840784073
66;0.9118577837944031;0.08864478766918182;0.002;0.9756959676742554;0.0895695611834526
67;0.9105513691902161;0.09062182158231735;0.002;0.9704653024673462;0.09398426115512848
68;0.9116747379302979;0.09072306007146835;0.002;0.973763644695282;0.09684067219495773
69;0.9114250540733337;0.09104357659816742;0.002;0.9709984064102173;0.09245210886001587
70;0.9113626480102539;0.08890119940042496;0.002;0.9767287373542786;0.0877806767821312
71;0.9120658040046692;0.08730369061231613;0.002;0.9729806780815125;0.09351112693548203
72;0.9117662310600281;0.0880938395857811;0.002;0.9736136794090271;0.0895974189043045
73;0.911558210849762;0.0886818990111351;0.002;0.9681332111358643;0.10209734737873077
74;0.9113460183143616;0.08836879581212997;0.002;0.9782612919807434;0.08483850955963135
75;0.9110131859779358;0.09053264558315277;0.002;0.9755460619926453;0.09226929396390915
76;0.9101352691650391;0.09308923035860062;0.002;0.967000424861908;0.10027343034744263
77;0.9107552170753479;0.08966477960348129;0.002;0.9694824814796448;0.09589546173810959
78;0.9126358032226562;0.08646636456251144;0.002;0.9788609743118286;0.08635544776916504
79;0.9106720089912415;0.09071283787488937;0.002;0.9783446192741394;0.08710268884897232
80;0.9114625453948975;0.08908078819513321;0.002;0.9729806780815125;0.09787004441022873
81;0.911699652671814;0.0869535282254219;0.002;0.9723643660545349;0.09502741694450378
82;0.9129936099052429;0.0827113687992096;0.00040000002;0.9701988101005554;0.09556164592504501
83;0.9141710996627808;0.07917355000972748;0.00040000002;0.9717980027198792;0.09635423868894577
84;0.9142335057258606;0.07863228768110275;0.00040000002;0.9724643230438232;0.09650696814060211
85;0.9144373536109924;0.07750219106674194;0.00040000002;0.9711649417877197;0.09797476977109909
86;0.9143624901771545;0.07790298014879227;0.00040000002;0.9716647267341614;0.09665918350219727
87;0.9145538806915283;0.07762349396944046;0.00040000002;0.972730815410614;0.09569869935512543
88;0.914549708366394;0.07736055552959442;0.00040000002;0.9713981747627258;0.09836623817682266
89;0.9148949980735779;0.07699505984783173;0.00040000002;0.971348226070404;0.09867625683546066
90;0.9153277277946472;0.07633185386657715;0.00040000002;0.9736303687095642;0.09776966273784637
91;0.9152445197105408;0.07624407857656479;0.00040000002;0.9733805060386658;0.09751371294260025
